X,Y,SiteName,ObservationID,InvasiveName,ObservationDate,Observer,SurveyType,Latitude,Longitude,Town,GrossArea,InfestedArea,PlantDescription,DistributionName,AssessmentDate,TreatmentDate,TreatmentEffectiveness,TreatmentType,TreatmentPerson,TreatmentAssessmentDate,Assessor,TreatmentAssessmentNotes,TreatmentHours,ChemicalName,ChemicalConsentration,ChemicalOunces,ApplicationMethod,CertifiedApplicator,EPARegistationNumber
454412.655397369,156318.621176186,Branbury S.P.,98,Goutweed,Jun  9 2010 ,Tess Greaves,Contractor,43.9057,-73.0675,Salisbury,,.05,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454557.858717826,156406.514849059,Branbury S.P,99,Garlic mustard,Jun  9 2010 ,Tess Greaves,Contractor,43.9065,-73.0657,Salisbury,,.82,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454453.50685977,156418.341380407,Branbury S.P.,100,Garlic mustard,Jun  9 2010 ,Tess Greaves,Contractor,43.9066,-73.067,Salisbury,,0,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454621.286509785,156283.857835937,Branbury S.P.,101,Garlic mustard,Jun  9 2010 ,Tess Greaves,Contractor,43.9054,-73.0649,Salisbury,,.65,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454356.806187259,156374.560981315,Branbury S.P.,102,Oriental bittersweet,Jun 10 2010 ,Tess Greaves,Contractor,43.9062,-73.0682,Salisbury,,.01,,Scattered Plants or Clumps,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
454404.622358138,156318.676359479,Branbury S.P.,103,Tatarian honeysuckle,Jun  9 2010 ,Tess Greaves,Contractor,43.9057,-73.0676,Salisbury,,.08,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454462.225934515,156518.282245812,Branbury S.P.,104,Tatarian honeysuckle,Jun 10 2010 ,Tess Greaves,Contractor,43.9075,-73.0669,Salisbury,,.09,,Scattered Plants or Clumps,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
454516.399620167,156217.908719613,Branbury S.P.,105,Tatarian honeysuckle,Jun  9 2010 ,Tess Greaves,Contractor,43.9048,-73.0662,Salisbury,,.01,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454469.801373336,156451.563135141,Branbury S.P.,106,Tatarian honeysuckle,Jun  9 2010 ,Tess Greaves,Contractor,43.9069,-73.0668,Salisbury,,.19,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454316.564846628,156363.726671531,Branbury S.P.,107,Tatarian honeysuckle,Jun  9 2010 ,Tess Greaves,Contractor,43.9061,-73.0687,Salisbury,,.66,,,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
454596.959246037,156250.690670493,Branbury S P,108,Tatarian honeysuckle,Jun  9 2010 ,Tess Greaves,Contractor,43.9051,-73.0652,Salisbury,,.01,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454621.514415429,156317.189823591,Branbury S P,109,Tatarian honeysuckle,Jun  9 2010 ,Tess Greaves,Contractor,43.9057,-73.0649,Salisbury,,.01,,,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454654.405728274,156428.076836679,Branbury S. P.,110,Tatarian honeysuckle,Jun  9 2010 ,Tess Greaves,Contractor,43.9067,-73.0645,Salisbury,,.17,Fruits,Linearly Scattered,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454460.929870443,156329.400943714,Branbury S P,111,Purple loosestrife,Jun  9 2010 ,Tess Greaves,Contractor,43.9058,-73.0669,Salisbury,,.28,,Linearly Scattered,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
454486.705327066,156573.670263558,Branbury S P,112,Common buckthorn,Jun  9 2010 ,Tess Greaves,Contractor,43.908,-73.0666,Salisbury,,.01,,Linearly Scattered,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
431436.25667697,187219.096184185,Button Bay SP,113,Amur maple,Aug 11 2010 ,Tess Greaves,Contractor,44.182,-73.3575,Ferrisburgh,,0,,Single Plant or Clump,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
431245.403527585,187321.101730207,Button Bay S.P.,114,Autumn olive,Aug 11 2010 ,Tess Greaves,Contractor,44.1829,-73.3599,Ferrisburgh,,.05,,,Aug 11 2010 ,Sep  1 2011 ,,Pesticide,Tess Greaves,,Aaron Hurst,,0,Accord,25,20,Backpack/Spot Sprayer,Courtney Haynes - Redstart Forestry,
431597.097778013,187306.319741157,Button Bay S.P,115,Autumn olive,Aug 11 2010 ,Tess Greaves,Contractor,44.1828,-73.3555,Ferrisburgh,,0,,Single Plant or Clump,Aug 11 2010 ,Sep 23 2011 ,,Pesticide,Tess Greaves,,Aaron Hurst,,0,Accord,25,72,Backpack/Spot Sprayer,Courtney Haynes - Redstart Forestry,
431613.320382332,187328.375775422,Button Bay SP,116,Autumn olive,Aug 11 2010 ,Tess Greaves,Contractor,44.183,-73.3553,Ferrisburgh,,0,,Single Plant or Clump,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
431645.187489021,187316.931860835,Button Bay S.P.,117,Autumn olive,Aug 11 2010 ,Tess Greaves,Contractor,44.1829,-73.3549,Ferrisburgh,,0,,Single Plant or Clump,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
431325.47641746,187331.377031031,Button Bay SP,118,Autumn olive,Aug 11 2010 ,Tess Greaves,Contractor,44.183,-73.3589,Ferrisburgh,,0,,Single Plant or Clump,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
430964.85452156,187257.367789084,Button Bay SP,119,Autumn olive,Aug 11 2010 ,Tess Greaves,Contractor,44.1823,-73.3634,Ferrisburgh,,0,,Single Plant or Clump,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
431500.802071189,187273.985333325,Button Bay SP,120,Tatarian honeysuckle,Aug 11 2010 ,Tess Greaves,Contractor,44.1825,-73.3567,Ferrisburgh,,51.25,,Linearly Scattered,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
431500.802071189,187273.985333325,Button Bay SP,121,Purple loosestrife,Aug 11 2010 ,Tess Greaves,Contractor,44.1825,-73.3567,Ferrisburgh,,51.25,,Scattered Dense Patches,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
432012.988719664,187313.117061005,Button Bay SP,122,Common reed,Aug 11 2010 ,Tess Greaves,Contractor,44.1829,-73.3503,Ferrisburgh,,0,,Scattered Plants or Clumps,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
431565.346388752,187328.875109146,Button Bay SP,123,Common reed,Aug 11 2010 ,Tess Greaves,Contractor,44.183,-73.3559,Ferrisburgh,,.08,,,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
431500.802071189,187273.985333325,Button Bay S.P.,124,Common buckthorn,Aug 11 2010 ,Tess Greaves,Contractor,44.1825,-73.3567,Ferrisburgh,,51.25,,Scattered Plants or Clumps,Aug 11 2010 ,,,,Tess Greaves,,,,,,,,,,
426752.540037,173034.541638679,DAR SP,125,Goutweed,Jun 10 2010 ,Tess Greaves,Contractor,44.0539,-73.4141,Addison,,.54,,Dominant Cover,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426672.655820927,173057.653089705,DAR SP,126,Goutweed,Jun 10 2010 ,Tess Greaves,Contractor,44.0541,-73.4151,Addison,,.01,,Dominant Cover,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426887.655425346,172933.032928156,DAR SP,127,Garlic mustard,Jun 10 2010 ,Tess Greaves,Contractor,44.053,-73.4124,Addison,,.08,,Dominant Cover,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426848.574158789,173022.364554008,DAR SP,128,Garlic mustard,Jun 10 2010 ,Tess Greaves,Contractor,44.0538,-73.4129,Addison,,.1,,Dominant Cover,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426664.642745327,173057.742092322,DAR SP,129,Garlic mustard,Jun 10 2010 ,Tess Greaves,Contractor,44.0541,-73.4152,Addison,,.02,,Dominant Cover,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426610.280416301,173213.919126001,DAR SP,130,Garlic mustard,Jun 10 2010 ,Tess Greaves,Contractor,44.05555,-73.4159,Addison,,.03,,Dominant Cover,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426740.089524454,173356.937952075,DAR SP,131,Wild chervil,Jun 10 2010 ,Tess Greaves,Contractor,44.0568,-73.4143,Addison,,.05,,Scattered Dense Patches,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426690.285903256,173201.917872381,DAR SP,132,Common barberry,Jun 10 2010 ,Tess Greaves,Contractor,44.0554,-73.4149,Addison,,.09,,Scattered Plants or Clumps,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426727.514256905,172945.920551763,DAR SP,133,Dame's rocket,Jun 10 2010 ,Tess Greaves,Contractor,44.0531,-73.4144,Addison,,.01,,Scattered Plants or Clumps,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426897.883130225,173132.941829811,DAR SP,134,Dame's rocket,Jun 10 2010 ,Tess Greaves,Contractor,44.0548,-73.4123,Addison,,.37,,Scattered Plants or Clumps,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426794.576811195,173211.872957265,DAR SP,135,Tatarian honeysuckle,Jun 10 2010 ,Tess Greaves,Contractor,44.0555,-73.4136,Addison,,31.97,,Scattered Dense Patches,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426714.447944355,173212.761963577,DAR SP,136,Tatarian honeysuckle,Jun 10 2010 ,Tess Greaves,Contractor,44.0555,-73.4146,Addison,,1.05,,Scattered Dense Patches,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426704.584772461,173046.18619642,DAR SP,137,Tatarian honeysuckle,Jun 10 2010 ,Tess Greaves,Contractor,44.054,-73.4147,Addison,,15.47,,Scattered Dense Patches,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
426913.66308904,173110.542436242,DAR SP,138,Purple loosestrife,Jun 10 2010 ,Contractor ,Invasive Search/Survey,44.0546,-73.4121,Addison,.05,.01,Non-woody,Single Plant or Clump,Jun 10 2010 ,,,,Contractor ,,,,,,,,,,
426794.576811195,173211.872957265,DAR SP,139,Common buckthorn,Jun 10 2010 ,Contractor ,Invasive Search/Survey,44.0555,-73.4136,Addison,31.96,28.77,"Mature adult < 4"" dbh",Dominant Cover,Jun 10 2010 ,,,,Contractor ,,,,,,,,,,
426731.460233488,173301.471953102,DAR SP ,140,Multiflora rose,Apr 17 2012 ,Aaron Hurst,Assessment,44.0563,-73.4144,_Unknown,,,,,,,,,Aaron Hurst,,,,,,,,,,
426731.460233488,173301.471953102,DAR S P,141,Multiflora rose,Jun 10 2010 ,Tess Greaves,Contractor,44.0563,-73.4144,Addison,,.03,,,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
458641.567703056,86117.1937364265,Emerald Lake SP,142,Garlic mustard,Jun 15 2010 ,Tess Greaves,Contractor,43.2741,-73.0095,East Dorset,,6.41,,,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
458995.253252248,86881.6264706271,Emerald Lake SP,143,Japanese barberry,Jun 15 2010 ,Tess Greaves,Contractor,43.281,-73.0052,East Dorset,,8.33,,,Jun 15 2010 ,Jul 26 2011 ,,Pesticide,Tess Greaves,,Aaron Hurst,,0,Accord,2,4.48,Backpack/Spot Sprayer,Contractor ,
458450.171931913,85351.7837592268,Emerald Lake S.P.,144,Common barberry,Jun 15 2010 ,Tess Greaves,Contractor,43.2672,-73.0118,East Dorset,,.02,,Single Plant or Clump,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
458923.617012222,87115.3669374808,Emerald Lake SP,145,Oriental bittersweet,Jun 15 2010 ,Tess Greaves,Contractor,43.2831,-73.0061,East Dorset,,.1,,,Jun 15 2010 ,Jul 26 2011 ,,Pesticide,Tess Greaves,,Aaron Hurst,,0,Accord,1,3.2,Backpack/Spot Sprayer,Courtney Haynes - Redstart Forestry,
458981.293184753,85915.1541958574,Emerald Lake SP,146,Glossy buckthorn,Jun 15 2010 ,Tess Greaves,Contractor,43.2723,-73.0053,East Dorset,,.02,,Linearly Scattered,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
458773.742858356,86494.1241879848,Emerald Lake SP,147,Tatarian honeysuckle,Jun 15 2010 ,Tess Greaves,Contractor,43.2775,-73.0079,East Dorset,,.74,,Scattered Plants or Clumps,Jun 15 2010 ,Jul 26 2011 ,,Pesticide,Tess Greaves,,Aaron Hurst,,0,Accord,2,4.48,Backpack/Spot Sprayer,Contractor ,
459028.256374958,86970.3058823999,Emerald Lake SP,148,Purple loosestrife,Jun 15 2010 ,Tess Greaves,Contractor,43.2818,-73.0048,East Dorset,,.01,,,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
458659.0889057,86328.1741131636,Emerald Lake SP,149,Japanese knotweed,Jun 15 2010 ,Tess Greaves,Contractor,43.276,-73.0093,East Dorset,,.03,,,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
458973.175459858,85915.2032757737,Emerald Lake SP,150,Common buckthorn,Jun 15 2010 ,Tess Greaves,Contractor,43.2723,-73.0054,East Dorset,,.9,,Scattered Plants or Clumps,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
459166.704395483,87047.2399765024,Emerald Lake SP,151,Multiflora rose,Jun 15 2010 ,Tess Greaves,Contractor,43.2825,-73.0031,East Dorset,,6.9,,,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
458672.481303305,85861.4788992988,Emerald Lake SP,152,Garlic mustard,Jun 15 2010 ,Tess Greaves,Contractor,43.2718,-73.0091,East Dorset,,8.27,,,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
458853.632991549,86282.5520182663,Emerald Lake SP,153,Japanese barberry,Jun 15 2010 ,Tess Greaves,Contractor,43.2756,-73.0069,East Dorset,,3.26,,,Jun 15 2010 ,,,,Tess Greaves,,,,,,,,,,
458779.159990947,86049.6973127685,Emerald Lake SP,154,Common barberry,Jun 15 2010 ,Tess Greaves,Contractor,43.2735,-73.0078,East Dorset,,,,Scattered Plants or Clumps,Apr 18 2012 ,,,,Tess Greaves,,,,,,,,,,
458615.317969654,85806.2780889924,Emerald Lake SP,155,Common buckthorn,Jun  9 2010 ,Tess Greaves,Contractor,43.2713,-73.0098,East Dorset,,.13,,Single Plant or Clump,Jun  9 2010 ,,,,Tess Greaves,,,,,,,,,,
444297.236334587,58267.1431304841,Lake Shaftsbury SP,156,Garlic mustard,Jun 17 2010 ,Tess Greaves,Contractor,43.0225,-73.1834,Shaftsbury,,.02,,,Jun 17 2010 ,,,,Tess Greaves,,,,,,,,,,
444386.444577786,58210.8691595047,Lake Shaftsbury SP,157,Japanese barberry,Jun 17 2010 ,Tess Greaves,Contractor,43.022,-73.1823,Shaftsbury,,.42,,,Jun 17 2010 ,,,,Tess Greaves,,,,,,,,,,
444580.7178553,58042.6478977623,Lake Shaftsbury SP,158,Common barberry,Jun 17 2010 ,Tess Greaves,Contractor,43.0205,-73.1799,Shaftsbury,,1.15,,,Jun 17 2010 ,,,,Tess Greaves,,,,,,,,,,
444810.472349861,58229.6563502764,Lake Shaftsbury SP,159,Oriental bittersweet,Jun 17 2010 ,Tess Greaves,Contractor,43.0222,-73.1771,Shaftsbury,,.44,,,Jun 14 2010 ,,,,Tess Greaves,,,,,,,,,,
444590.667622061,58264.7613495442,Lake Shaftsbury SP,160,Tatarian honeysuckle,Jun 17 2010 ,Tess Greaves,Contractor,43.0225,-73.1798,Shaftsbury,,12.34,,,Jun 17 2010 ,,,,Tess Greaves,,,,,,,,,,
444631.511833608,58275.540515714,Lake Shaftsbury SP,161,Japanese knotweed,Jun 17 2010 ,Tess Greaves,Contractor,43.0226,-73.1793,Shaftsbury,,.01,,,Jun 17 2010 ,,,,Tess Greaves,,,,,,,,,,
444590.667622061,58264.7613495442,Lake Shaftsbury SP,162,Common buckthorn,Jun 17 2010 ,Tess Greaves,Contractor,43.0225,-73.1798,Shaftsbury,,.40,,,Jun 17 2010 ,,,,Tess Greaves,,,,,,,,,,
444133.493557157,58179.599984986,Lake Shaftsbury SP,163,Multiflora rose,Jun 17 2010 ,Tess Greaves,Contractor,43.0217,-73.1854,Shaftsbury,,.43,,Scattered Plants or Clumps,Jun 17 2010 ,,,,Tess Greaves,,,,,,,,,,
444002.987064723,58169.5567234347,Lake Shaftsbury SP,164,Black locust,Jun 17 2010 ,Tess Greaves,Contractor,43.0216,-73.187,Shaftsbury,,.14,,Scattered Plants or Clumps,Jun 17 2010 ,,,,Tess Greaves,,,,,,,,,,
456215.789401805,43149.6736829061,Woodford SP,165,Garlic mustard,Aug 19 2010 ,Tess Greaves,Contractor,42.8872,-73.036,Bennington,,.13,,,Aug 19 2010 ,,,,Tess Greaves,,,,,,,,,,
456201.503842302,43471.9298638772,Woodford SP,166,Tatarian honeysuckle,Aug 19 2010 ,Tess Greaves,Contractor,42.8901,-73.0362,Bennington,,.04,,Scattered Plants or Clumps,Aug 19 2010 ,Jun 18 2011 ,,Pesticide,Tess Greaves,,Aaron Hurst,,0,Accord,10,6.4,Backpack/Spot Sprayer,Dan Ott - UVM Forest Health,
456175.299714146,43205.4773096215,Woodford SP,167,Purple loosestrife,Aug 19 2010 ,Tess Greaves,Contractor,42.8877,-73.0365,Bennington,,.01,,,Aug 16 2010 ,,,,Tess Greaves,,,,,,,,,,
519783.955223246,194080.314515742,Ricker Pond SP,168,Black locust,Jul  9 2010 ,Tess Greaves,Contractor,44.2467,-72.2523,Groton,,,,,Jul  9 2010 ,,,,Tess Greaves,,,,,,,,,,
443020.560253127,197965.025174752,Mt. Philo SP,169,Garlic mustard,Jun 11 2010 ,Tess Greaves,Contractor,44.2797,-73.2138,Charlotte,,.36,,,Jun 11 2010 ,,,,Tess Greaves,,,,,,,,,,
442644.892834955,197912.742381927,Mt. Philo SP,170,Japanese barberry,Jun 11 2010 ,Tess Greaves,ARRA project,44.2792,-73.2185,Charlotte,,4.95,,,Jun 11 2010 ,,,,Tess Greaves,,,,,,,,,,
442523.885863554,197769.343748263,Mt. Philo SP,171,Common barberry,Jun 10 2011 ,Tess Greaves,ARRA project,44.2779,-73.22,Charlotte,,6.64,,Scattered Plants or Clumps,Jun 10 2010 ,,,,Tess Greaves,,,,,,,,,,
442915.140769018,197777.03496496,Mt. Philo SP,172,Oriental bittersweet,Jun 11 2010 ,Tess Greaves,ARRA project,44.278,-73.2151,Charlotte,,.17,,,Jun 11 2010 ,,,,Tess Greaves,,,,,,,,,,
442316.528268511,197793.390804228,Mt. Philo SP,173,Tatarian honeysuckle,Jun 10 2010 ,Tess Greaves,ARRA project,44.2781,-73.2226,Charlotte,,29.49,,,Jun 11 2010 ,,,,Tess Greaves,,,,,,,,,,
442459.242564644,197681.013234601,Mt. Philo SP,174,Common buckthorn,Jun 11 2010 ,Tess Greaves,ARRA project,44.2771,-73.2208,Charlotte,,24.39,,,Jun 11 2010 ,,,,Tess Greaves,,,,,,,,,,
472711.597233725,225353.574737855,Underhill SP,175,Oriental bittersweet,Jul  8 2010 ,Tess Greaves,ARRA project,44.5279,-72.8433,Underhill,,26.43,,,Jul  8 2010 ,,,,Tess Greaves,,,,,,,,,,
472775.933581845,225531.097636623,Underhill SP,176,Common buckthorn,Jul  8 2010 ,Tess Greaves,ARRA project,44.5295,-72.8425,Underhill,,4.95,,,Jul  8 2010 ,,,,Tess Greaves,,,,,,,,,,
550877.869466997,255100.068940232,Brighton SP,177,Goutweed,Jul 22 2010 ,Tess Greaves,ARRA project,44.7943,-71.857,Brighton,,.03,,,Jul 22 2010 ,,,,Tess Greaves,,,,,,,,,,
444713.099118906,253069.39590578,Burton Island SP,178,Amur maple,Jul  7 2010 ,Tess Greaves,ARRA project,44.7757,-73.1985,Saint Albans Bay,,.01,,Single Plant or Clump,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
443787.574609045,252232.807678999,Burton Island SP,179,Japanese barberry,Jul  7 2010 ,Tess Greaves,ARRA project,44.7681,-73.2101,Saint Albans Bay,,3.18,,,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
444523.328047191,253093.254628543,Burton Island SP,180,Common barberry,Jul  7 2010 ,Tess Greaves,ARRA project,44.7759,-73.2009,Saint Albans Bay,,.13,,,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
444926.14164079,252989.777893511,Burton Island SP,181,Oriental bittersweet,Jul  7 2010 ,Tess Greaves,ARRA project,44.775,-73.1958,Saint Albans Bay,,3.02,,,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
444783.572692128,252979.885810381,Burton Island SP,182,Autumn olive,Jul  7 2010 ,Tess Greaves,ARRA project,44.7749,-73.1976,Saint Albans Bay,,.02,,,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
443787.574609045,252232.807678999,Burton Island SP,183,Dame's rocket,Jul  7 2010 ,Tess Greaves,ARRA project,44.7681,-73.2101,Saint Albans Bay,,21.57,,,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
444406.233120683,253283.188699829,Burton Island SP,184,Tatarian honeysuckle,Jul  7 2010 ,Tess Greaves,ARRA project,44.7776,-73.2024,Saint Albans Bay,,1.13,,,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
444918.036306025,252967.620909598,Burton Island SP,185,Purple loosestrife,Jul  7 2010 ,Tess Greaves,ARRA project,44.7748,-73.1959,Saint Albans Bay,,.1,,,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
444406.233120683,253283.188699829,Burton Island SP,186,Common buckthorn,Jul  7 2010 ,Tess Greaves,ARRA project,44.7776,-73.2024,Saint Albans Bay,,77.62,,,Jul  7 2010 ,,,,Tess Greaves,,,,,,,,,,
444854.90481569,252990.387631296,Burton Island SP,187,Black locust,Jul  7 2010 ,Tess Greaves,ARRA project,44.775,-73.1967,Saint Albans Bay,,29.67,,,Apr 19 2012 ,,,,Tess Greaves,,,,,,,,,,
469708.252443277,272839.581760125,Lake Carmi SP,188,Garlic mustard,Jul  6 2010 ,Tess Greaves,ARRA project,44.9551,-72.8839,Enosburg Falls (v),,.19,,Scattered Plants or Clumps,Jul  6 2010 ,,,,Tess Greaves,,,,,,,,,,
469502.886108383,272796.10553178,Lake Carmi SP,189,Tatarian honeysuckle,Jul  6 2010 ,Tess Greaves,ARRA project,44.9547,-72.8865,Enosburg Falls (v),,.38,,Scattered Plants or Clumps,Jul  6 2010 ,,,,Tess Greaves,,,,,,,,,,
470773.934416788,272934.641643778,Lake Carmi SP,190,Purple loosestrife,Jul  6 2010 ,Tess Greaves,ARRA project,44.956,-72.8704,Enosburg Falls (v),,.01,,,Jul  6 2010 ,,,,Tess Greaves,,,,,,,,,,
469896.789313433,272660.884979174,Lake Carmi SP,191,Common reed,Jul  6 2010 ,Tess Greaves,ARRA project,44.9535,-72.8815,Enosburgh,,.49,,,Jul  6 2010 ,,,,Tess Greaves,,,,,,,,,,
469494.624641346,272718.35431192,Lake Carmi SP,192,Common buckthorn,Jul  6 2010 ,Tess Greaves,ARRA project,44.954,-72.8866,Enosburg Falls (v),,6.22,,Scattered Plants or Clumps,Jul  6 2010 ,,,,Tess Greaves,,,,,,,,,,
437328.637342094,243390.663681186,Grand Isle SP,193,Amur maple,Jun 29 2010 ,Tess Greaves,ARRA project,44.688,-73.2906,Grand Isle,,,,Single Plant or Clump,Jun 29 2010 ,,,,Tess Greaves,,,,,,,,,,
437313.106773656,243424.154104799,Grand Isle SP,194,Norway maple,Jun 29 2010 ,Tess Greaves,ARRA project,44.6883,-73.2908,Grand Isle,,17.83,,,Jun 29 2010 ,,,,Tess Greaves,,,,,,,,,,
437295.634323571,243257.625294325,Grand Isle SP,195,Goutweed,Jun 29 2010 ,Tess Greaves,ARRA project,44.6868,-73.291,Grand Isle,,,,Single Plant or Clump,Jun 29 2010 ,,,,Tess Greaves,,,,,,,,,,
437313.106773656,243424.154104799,Grand Isle SP,196,Garlic mustard,Jun 28 2010 ,Tess Greaves,ARRA project,44.6883,-73.2908,Grand Isle,,17.33,,Scattered Plants or Clumps,Jun 28 2010 ,,,,Tess Greaves,,,,,,,,,,
437374.906778988,243256.856113105,Grand Isle SP,197,Oriental bittersweet,Jun 29 2010 ,Tess Greaves,ARRA project,44.6868,-73.29,Grand Isle,,,,,Jun 29 2010 ,,,,Tess Greaves,,,,,,,,,,
